gene,abbr
ZDB-GENE-990706-1,20kx18
ZDB-GENE-210324-7,3m76
ZDB-GENE-030131-6124,42sp43
ZDB-GENE-210324-8,4m99
ZDB-GENE-060824-3,a1cf
ZDB-GENE-090212-1,a2ml
ZDB-GENE-030131-1342,a2ml2
ZDB-GENE-030912-4,aaas
ZDB-GENE-040426-903,aacs
ZDB-GENE-130530-713,aadac
ZDB-GENE-080919-2,aadacl4
ZDB-GENE-111229-1,aadat
ZDB-GENE-040718-120,aagab
ZDB-GENE-081105-101,aak1a
ZDB-GENE-091118-25,aak1b
ZDB-GENE-050522-64,aamdc
ZDB-GENE-040426-2370,aamp
ZDB-GENE-040329-1,aanat1
ZDB-GENE-991019-6,aanat2
ZDB-GENE-040704-68,aar2
ZDB-GENE-030131-3663,aars1
ZDB-GENE-041008-213,aars2
ZDB-GENE-040801-91,aarsd1
ZDB-GENE-041210-322,aasdh
ZDB-GENE-050913-36,aasdhppt
ZDB-GENE-061220-8,aass
ZDB-GENE-030131-9654,aatf
ZDB-GENE-100812-4,aatka
ZDB-GENE-100812-6,aatkb
ZDB-GENE-031006-4,abat
ZDB-GENE-030131-9790,abca12
ZDB-GENE-031006-12,abca1a
ZDB-GENE-030131-9826,abca1b
ZDB-GENE-050517-1,abca2
ZDB-GENE-121203-1,abca3a
ZDB-GENE-050517-2,abca3b
ZDB-GENE-050517-3,abca4a
ZDB-GENE-050517-4,abca4b
ZDB-GENE-050517-5,abca5
ZDB-GENE-050517-6,abca7
ZDB-GENE-040525-2,abcb10
ZDB-GENE-050517-13,abcb11a
ZDB-GENE-050517-14,abcb11b
ZDB-GENE-050517-44,abcb3l3
ZDB-GENE-080204-52,abcb4
ZDB-GENE-030131-6414,abcb5
ZDB-GENE-050517-9,abcb6a
ZDB-GENE-070912-584,abcb6b
ZDB-GENE-050517-10,abcb7
ZDB-GENE-050410-6,abcb8
ZDB-GENE-050517-12,abcb9
ZDB-GENE-050517-15,abcc1
ZDB-GENE-050517-24,abcc10
ZDB-GENE-050517-25,abcc12
ZDB-GENE-050517-26,abcc13
ZDB-GENE-040426-1523,abcc2
ZDB-GENE-050517-16,abcc3
ZDB-GENE-030616-511,abcc4
ZDB-GENE-050517-17,abcc5
ZDB-GENE-050517-18,abcc6a
ZDB-GENE-050517-19,abcc6b.1
ZDB-GENE-110208-2,abcc6b.2
ZDB-GENE-050517-22,abcc8
ZDB-GENE-120215-45,abcc8b
ZDB-GENE-050517-23,abcc9
ZDB-GENE-050517-27,abcd1
ZDB-GENE-050517-28,abcd2
ZDB-GENE-040426-2868,abcd3a
ZDB-GENE-050517-29,abcd3b
ZDB-GENE-050517-30,abcd4
ZDB-GENE-040426-1995,abce1
ZDB-GENE-050517-31,abcf1
ZDB-GENE-030131-8714,abcf2a
ZDB-GENE-050506-58,abcf2b
ZDB-GENE-050517-32,abcf3
ZDB-GENE-070424-84,abcg1
ZDB-GENE-050517-34,abcg1b
ZDB-GENE-050517-35,abcg2a
ZDB-GENE-050517-36,abcg2b
ZDB-GENE-050517-37,abcg2c
ZDB-GENE-050517-38,abcg2d
ZDB-GENE-050517-39,abcg4a
ZDB-GENE-080215-10,abcg4b
ZDB-GENE-050517-40,abcg5
ZDB-GENE-050517-41,abcg8
ZDB-GENE-050517-42,abch1
ZDB-GENE-070117-775,abf
ZDB-GENE-060526-144,abhd10a
ZDB-GENE-041111-196,abhd10b
ZDB-GENE-040909-1,abhd11
ZDB-GENE-060929-268,abhd12
ZDB-GENE-051120-54,abhd13
ZDB-GENE-040426-2428,abhd14a
ZDB-GENE-040426-1342,abhd14b
ZDB-GENE-131121-270,abhd15a
ZDB-GENE-110110-1,abhd15b
ZDB-GENE-010601-2,abhd16a
ZDB-GENE-030131-840,abhd17aa
ZDB-GENE-081105-136,abhd17ab
ZDB-GENE-040718-244,abhd17b
ZDB-GENE-040426-714,abhd17c
ZDB-GENE-050306-53,abhd18
ZDB-GENE-040426-784,abhd2a
ZDB-GENE-061027-74,abhd2b
ZDB-GENE-040912-90,abhd3
ZDB-GENE-050417-83,abhd4
ZDB-GENE-070615-1,abhd5a
ZDB-GENE-110411-277,abhd5b
ZDB-GENE-090925-1,abhd6a
ZDB-GENE-070410-104,abhd6b
ZDB-GENE-080204-70,abhd8a
ZDB-GENE-130530-805,abhd8b
ZDB-GENE-040426-1701,abi1a
ZDB-GENE-060929-1182,abi1b
ZDB-GENE-060929-192,abi2a
ZDB-GENE-060519-5,abi2b
ZDB-GENE-060929-958,abi3a
ZDB-GENE-121214-259,abi3b
ZDB-GENE-070912-325,abi3bpa
ZDB-GENE-030131-6041,abi3bpb
ZDB-GENE-060503-602,abitram
ZDB-GENE-100812-9,abl1
ZDB-GENE-020809-2,abl2
ZDB-GENE-080219-41,ablim1a
ZDB-GENE-050327-91,ablim1b
ZDB-GENE-100316-5,ablim2
ZDB-GENE-070112-1122,ablim3
ZDB-GENE-070705-146,abr
ZDB-GENE-120730-1,abraa
ZDB-GENE-040822-7,abrab
ZDB-GENE-030131-8594,abracl
ZDB-GENE-041010-70,abraxas1
ZDB-GENE-040426-2491,abraxas2
ZDB-GENE-050522-127,abt1
ZDB-GENE-141212-241,abtb1
ZDB-GENE-100422-13,abtb2a
ZDB-GENE-100422-14,abtb2b
ZDB-GENE-040704-48,acaa1
ZDB-GENE-040426-1996,acaa2
ZDB-GENE-060526-74,acaca
ZDB-GENE-060526-132,acacb
ZDB-GENE-040426-814,acad11
ZDB-GENE-040426-828,acad8
ZDB-GENE-060616-196,acad9
ZDB-GENE-040426-771,acadl
ZDB-GENE-040426-1945,acadm
ZDB-GENE-040808-64,acads
